name,slug,value,date_of_information,ranking,region
"Turkmenistan","turkmenistan","2.03","2022 est.","103","Central Asia"
"Burma","burma","2.02","2022 est.","104","East and Southeast Asia"
"Dominica","dominica","2.02","2022 est.","105","Central America and the Caribbean"
"Honduras","honduras","2.01","2022 est.","106","Central America and the Caribbean"
"Indonesia","indonesia","2.01","2022 est.","107","East and Southeast Asia"
"Tunisia","tunisia","2.00","2022 est.","108","Africa"
"Virgin Islands","virgin-islands","2.00","2022 est.","109","Central America and the Caribbean"
"Sint Maarten","sint-maarten","1.99","2022 est.","110","Central America and the Caribbean"
"Bahamas, The","bahamas-the","1.98","2022 est.","111","Central America and the Caribbean"
"Curacao","curacao","1.98","2022 est.","112","Central America and the Caribbean"
"Sri Lanka","sri-lanka","1.98","2022 est.","113","South Asia"
"Antigua and Barbuda","antigua-and-barbuda","1.95","2022 est.","114","Central America and the Caribbean"
"Colombia","colombia","1.95","2022 est.","115","South America"
"Iceland","iceland","1.95","2022 est.","116","Europe"
"Grenada","grenada","1.93","2022 est.","117","Central America and the Caribbean"
"Iran","iran","1.93","2022 est.","118","Middle East"
"Ireland","ireland","1.92","2022 est.","120","Europe"
"Saudi Arabia","saudi-arabia","1.92","2022 est.","121","Middle East"
"Suriname","suriname","1.92","2022 est.","122","South America"
"Greenland","greenland","1.91","2022 est.","123","North America"
"Mongolia","mongolia","1.91","2022 est.","124","East and Southeast Asia"
"Bermuda","bermuda","1.90","2022 est.","125","North America"
"Gibraltar","gibraltar","1.90","2022 est.","126","Europe"
"Korea, North","korea-north","1.90","2022 est.","127","East and Southeast Asia"
"Kosovo","kosovo","1.90","2022 est.","128","Europe"
"Nepal","nepal","1.90","2022 est.","129","South Asia"
"Qatar","qatar","1.90","2022 est.","130","Middle East"
"Isle of Man","isle-of-man","1.89","2022 est.","131","Europe"
"Paraguay","paraguay","1.89","2022 est.","132","South America"
"Azerbaijan","azerbaijan","1.86","2022 est.","133","Middle East"
"Costa Rica","costa-rica","1.86","2022 est.","134","Central America and the Caribbean"
"New Caledonia","new-caledonia","1.86","2022 est.","135","Australia and Oceania"
"New Zealand","new-zealand","1.86","2022 est.","136","Australia and Oceania"
"United States","united-states","1.84","2022 est.","137","North America"
"Aruba","aruba","1.83","2022 est.","138","Central America and the Caribbean"
"Norway","norway","1.83","2022 est.","139","Europe"
"Cayman Islands","cayman-islands","1.82","2022 est.","140","Central America and the Caribbean"
"Seychelles","seychelles","1.82","2022 est.","141","Africa"
"French Polynesia","french-polynesia","1.81","2022 est.","142","Australia and Oceania"
"Montenegro","montenegro","1.81","2022 est.","143","Europe"
"Brazil","brazil","1.80","2022 est.","144","South America"
"Nicaragua","nicaragua","1.80","2022 est.","145","Central America and the Caribbean"
"Saint Martin","saint-martin","1.80","2022 est.","146","Central America and the Caribbean"
"Bhutan","bhutan","1.79","2022 est.","147","South Asia"
"Netherlands","netherlands","1.78","2022 est.","148","Europe"
"Belgium","belgium","1.77","2022 est.","149","Europe"
"Denmark","denmark","1.77","2022 est.","150","Europe"
"Chile","chile","1.76","2022 est.","151","South America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.76","2022 est.","152","Central America and the Caribbean"
"Uruguay","uruguay","1.76","2022 est.","153","South America"
"Georgia","georgia","1.75","2022 est.","154","Middle East"
"Malaysia","malaysia","1.75","2022 est.","155","East and Southeast Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","1.75","2022 est.","156","Central America and the Caribbean"
"Brunei","brunei","1.74","2022 est.","157","East and Southeast Asia"
"Finland","finland","1.74","2022 est.","158","Europe"
"Australia","australia","1.73","2022 est.","159","Australia and Oceania"
"Uzbekistan","uzbekistan","1.73","2022 est.","160","Central Asia"
"Anguilla","anguilla","1.72","2022 est.","161","Central America and the Caribbean"
"Saint Lucia","saint-lucia","1.72","2022 est.","162","Central America and the Caribbean"
"Cuba","cuba","1.71","2022 est.","163","Central America and the Caribbean"
"Lebanon","lebanon","1.71","2022 est.","164","Middle East"
"Maldives","maldives","1.71","2022 est.","165","South Asia"
"Wallis and Futuna","wallis-and-futuna","1.71","2022 est.","166","Australia and Oceania"
"Barbados","barbados","1.70","2022 est.","167","Central America and the Caribbean"
"Palau","palau","1.70","2022 est.","168","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","1.70","2022 est.","169","Central America and the Caribbean"
"Liechtenstein","liechtenstein","1.69","2022 est.","170","Europe"
"Mexico","mexico","1.68","2022 est.","171","North America"
"Bahrain","bahrain","1.67","2022 est.","172","Middle East"
"Sweden","sweden","1.67","2022 est.","173","Europe"
"Jersey","jersey","1.66","2022 est.","174","Europe"
"Armenia","armenia","1.65","2022 est.","175","Middle East"
"Saint Barthelemy","saint-barthelemy","1.64","2022 est.","176","Central America and the Caribbean"
"United Arab Emirates","united-arab-emirates","1.64","2022 est.","177","Middle East"
"Luxembourg","luxembourg","1.63","2022 est.","178","Europe"
"Romania","romania","1.63","2022 est.","179","Europe"
"Trinidad and Tobago","trinidad-and-tobago","1.63","2022 est.","180","Central America and the Caribbean"
"United Kingdom","united-kingdom","1.63","2022 est.","181","Europe"
"Estonia","estonia","1.61","2022 est.","182","Europe"
"Lithuania","lithuania","1.61","2022 est.","183","Europe"
"Russia","russia","1.60","2022 est.","184","Central Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","1.60","2022 est.","185","Africa"
"Slovenia","slovenia","1.60","2022 est.","186","Europe"
"Moldova","moldova","1.59","2022 est.","187","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","1.59","2022 est.","188","North America"
"Guernsey","guernsey","1.58","2022 est.","189","Europe"
"Switzerland","switzerland","1.58","2022 est.","190","Europe"
"Canada","canada","1.57","2022 est.","191","North America"
"Germany","germany","1.57","2022 est.","192","Europe"
"Ukraine","ukraine","1.56","2022 est.","193","Europe"
"Albania","albania","1.54","2022 est.","194","Europe"
"Latvia","latvia","1.54","2022 est.","195","Europe"
"Thailand","thailand","1.54","2022 est.","196","East and Southeast Asia"
"Monaco","monaco","1.53","2022 est.","197","Europe"
"San Marino","san-marino","1.53","2022 est.","198","Europe"
"Austria","austria","1.51","2022 est.","199","Europe"
"Belarus","belarus","1.51","2022 est.","200","Europe"
